data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"05/08/2024";"09:22:00";"1";"Sem vítima";"551,000";"BR-40/MG";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"06/08/2024";"09:05:48";"27";"Sem vítima";"545,300";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"06/08/2024";"10:41:09";"30";"Sem vítima";"616,200";"BR-40/MG";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"06/08/2024";"11:17:26";"31";"Com vítima";"614,900";"BR-40/MG";"Crescente";"Colisão frontal";1;0;1;0;0;0;0;0;0;0;0;0;0;1;1
"06/08/2024";"01:26:03";"37";"Com vítima";"552,800";"BR-40/MG";"Crescente";"Colisão frontal";1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"06/08/2024";"02:48:25";"41";"Com vítima";"714,300";"BR-40/MG";"Crescente";"Choque";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"06/08/2024";"04:54:44";"49";"Sem vítima";"709,500";"BR-40/MG";"Crescente";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"07/08/2024";"06:54:49";"37";"Sem vítima";"551,350";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"07/08/2024";"04:28:00";"85";"Sem vítima";"565,000";"BR-40/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/08/2024";"12:21:46";"52";"Sem vítima";"762,500";"BR-40/MG";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/08/2024";"02:50:00";"60";"Sem vítima";"609,600";"BR-40/MG";"Crescente";"Colisão frontal";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"09/08/2024";"12:59:02";"48";"Sem vítima";"587,640";"BR-40/MG";"Crescente";"Colisão traseira";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"09/08/2024";"01:46:30";"51";"Sem vítima";"662,110";"BR-40/MG";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"09/08/2024";"08:22:54";"80";"Sem vítima";"548,000";"BR-40/MG";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"09/08/2024";"08:47:00";"83";"Sem vítima";"762,800";"BR-40/MG";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"10/08/2024";"04:22:55";"20";"Com vítima";"770,550";"BR-40/MG";"Crescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"10/08/2024";"08:31:00";"41";"Sem vítima";"757,474";"BR-40/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"10/08/2024";"10:40:44";"49";"Com vítima";"749,300";"BR-40/MG";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"10/08/2024";"10:48:00";"50";"Com vítima";"728,200";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"10/08/2024";"01:03:43";"58";"Sem vítima";"770,300";"BR-40/MG";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
